brushes,mode,scope,calls_per_step,inclusive_ms_per_step,exclusive_ms_per_step,exclusive_percent
64,outward,MapWindow::selectionDidChange,4.000,0.220256,0.220256,0.908
64,outward,MapWindow::updateActionState,1.000,0.033192,0.033192,0.137
64,outward,OutlinerEntityPropertyEditor::rebuildPropertyRows,1.000,1.923668,1.719326,7.087
64,outward,OutlinerEntityPropertyEditor::updateFromSelection,1.000,1.932622,0.008954,0.037
64,outward,OutlinerTreeWidget::onDocumentSelectionChanged,4.000,3.890959,0.006291,0.026
64,outward,OutlinerTreeWidget::refreshTreeParents,2.000,1.991713,0.484030,1.995
64,outward,OutlinerTreeWidget::setupTreeItem,131.000,1.488847,1.488847,6.137
64,outward,OutlinerTreeWidget::syncSelectionFromDocument,6.000,3.903503,3.903503,16.090
64,outward,Qt.LayoutRequest,3.000,0.079137,0.079137,0.326
64,outward,Qt.MetaCall,15.000,3.601733,1.669111,6.880
64,outward,Qt.Paint,21.000,9.052810,8.296603,34.198
64,outward,Qt.Polish,7.000,0.492941,0.492941,2.032
64,outward,Qt.PolishRequest,7.000,0.301431,0.012832,0.053
64,outward,Qt.Timer,7.783,1.810795,1.069010,4.406
64,outward,Qt.UpdateRequest,1.000,10.738462,1.685652,6.948
64,outward,RenderView::paintGL,1.000,0.756207,0.001147,0.005
64,outward,RenderView::render,1.000,0.755061,0.012651,0.052
64,outward,ToolBoxConnector::updatePickResult,24.000,0.197980,0.197980,0.816
64,outward,addNodes,1.000,1.304642,0.021237,0.088
64,outward,addNodesAndNotify,1.000,1.035934,0.007276,0.030
64,outward,deselectAll,1.000,0.656351,0.005722,0.024
64,outward,drag,1.000,7.765272,0.006707,0.028
64,outward,events_and_render,1.000,16.493269,0.461067,1.900
64,outward,frame,1.000,24.260834,0.002293,0.009
64,outward,input.pick,1.000,0.037511,0.037511,0.155
64,outward,notify.selectionDidChange,4.000,4.714117,0.330012,1.360
64,outward,removeNodesAndNotify,1.000,0.999229,0.010707,0.044
64,outward,selectNodes,1.000,1.518714,0.008739,0.036
64,outward,splitBrushesOutward,1.000,7.720166,0.009131,0.038
64,inward,Brush.copy,2.000,0.021774,0.001983,0.008
64,inward,Brush.copy.faces,3.000,0.001820,0.001820,0.007
64,inward,Brush.copy.geometry,3.000,0.031682,0.031682,0.128
64,inward,Brush::clip,2.000,0.057082,0.057082,0.230
64,inward,BrushRenderer::addBrush,5.000,0.032494,0.004352,0.018
64,inward,BrushRenderer::invalidate,6.000,0.037562,0.037562,0.151
64,inward,BrushRenderer::removeBrush,5.000,0.014769,0.005348,0.022
64,inward,BrushRenderer::validate,2.000,0.157946,0.021740,0.088
64,inward,BrushRenderer::validateBrush,65.000,0.136206,0.136206,0.549
64,inward,CommandProcessor::executeAndStore,5.000,3.042721,0.267733,1.080
64,inward,CommandProcessor::rollbackTransaction,1.000,5.909665,0.017878,0.072
64,inward,CommandProcessor::undoCommand,3.000,5.692667,0.480876,1.939
64,inward,EntityPropertyGrid::updateControls,6.000,0.030747,0.030747,0.124
64,inward,ExtrudeTool::extrude,1.000,9.463404,0.001921,0.008
64,inward,FaceAttribsEditor::updateControls,1.000,0.221518,0.221518,0.893
64,inward,Map::nodesDidChange,2.000,0.010851,0.010851,0.044
64,inward,Map::nodesWereAdded,1.000,0.005849,0.005849,0.024
64,inward,Map::nodesWereRemoved,1.000,0.004069,0.004069,0.016
64,inward,Map::nodesWillBeRemoved,1.000,0.003229,0.003229,0.013
64,inward,Map::nodesWillChange,2.000,0.003642,0.003642,0.015
64,inward,Map::rollbackTransaction,1.000,5.919524,0.009859,0.040
64,inward,Map::selectionDidChange,3.000,0.009246,0.009246,0.037
64,inward,Map::selectionWillChange,3.000,0.000905,0.000905,0.004
64,inward,MapDocument::transactionDone,2.000,0.332876,0.234554,0.946
64,inward,MapDocument::transactionUndone,1.000,0.199120,0.142771,0.576
64,inward,MapRenderer::nodesDidChange,2.000,0.005130,0.005130,0.021
64,inward,MapRenderer::nodesWereAdded,1.000,0.007878,0.003203,0.013
64,inward,MapRenderer::nodesWereRemoved,1.000,0.006829,0.002098,0.008
64,inward,MapRenderer::selectionDidChange,3.000,0.048418,0.010562,0.043
64,inward,MapViewBase::renderContents,1.000,0.745527,0.587581,2.369
64,inward,MapViewBase::selectionDidChange,12.000,0.165292,0.035573,0.143
